0;0;0;0;x;x;
1;147;214;159;b_br_27_s_o_paulo;x;
2;111;215;110;b_br_27_guarulhos;x;
3;100;222;162;b_br_27_s_o_bernardo_do_campo;x;
4;127;44;185;b_br_27_osasco;x;
5;113;62;227;b_br_27_barueri;x;
6;142;50;212;b_br_27_itapecerica_da_serra;x;
7;40;142;182;b_br_27_mogi_das_cruzes;x;
8;101;186;186;b_br_27_biritiba_mirim;x;
9;106;26;49;b_br_27_campinas;x;
10;100;19;66;b_br_27_sumar_;x;
11;106;20;33;b_br_27_cosm_polis;x;
12;90;1;64;b_br_27_paul_nia;x;
13;225;56;45;b_br_27_jundia_;x;
14;255;74;35;b_br_27_itatiba;x;
15;205;49;91;b_br_27_cabre_va;x;
16;88;192;85;b_br_27_bragan_a_paulista;x;
17;153;193;63;b_br_27_atibaia;x;
18;95;170;43;b_br_27_piracaia;x;
19;26;198;87;b_br_27_amparo;x;
20;52;202;111;b_br_27_socorro;x;
21;147;181;171;b_br_27_ribeir_o_preto;x;
22;122;220;172;b_br_27_jaboticabal;x;
23;142;240;168;b_br_27_pontal;x;
24;157;210;153;b_br_27_batatais;x;
25;142;194;190;b_br_27_cajuru;x;
26;131;206;158;b_br_27_santa_rosa_de_viterbo;x;
27;102;184;18;b_br_27_franca;x;
28;98;155;0;b_br_27_ituverava;x;
29;133;137;28;b_br_27_pedregulho;x;
30;144;82;94;b_br_27_bebedouro;x;
31;125;80;104;b_br_27_barretos;x;
32;118;64;126;b_br_27_ol_mpia;x;
33;179;158;33;b_br_27_orl_ndia;x;
34;150;171;19;b_br_27_s_o_joaquim_da_barra;x;
35;158;164;0;b_br_27_gua_ra;x;
36;64;67;166;b_br_27_s_o_jos_dos_campos;x;
37;48;77;158;b_br_27_jacare_;x;
38;91;107;139;b_br_27_andrade;x;
39;70;145;82;b_br_27_taubat_;x;
40;123;100;122;b_br_27_pindamonhangaba;x;
41;200;167;145;b_br_27_guaratinguet_;x;
42;195;226;165;b_br_27_bairro_marciana;x;
43;181;178;156;b_br_27_cunha;x;
44;167;177;148;b_br_27_areias;x;
45;173;41;86;b_br_27_campos_do_jord_o;x;
46;143;127;57;b_br_21_ant_nio_rocha;x;
47;98;91;43;b_br_27_s_o_vicente;x;
48;97;129;24;b_br_27_itanha_m;x;
49;94;147;24;b_br_27_peru_be;x;
50;149;153;99;b_br_27_santos;x;
51;140;193;74;b_br_27_indaia;x;
52;164;79;0;b_br_27_sorocaba;x;
53;128;93;0;b_br_27_itu;x;
54;143;71;23;b_br_27_s_o_roque;x;
55;146;85;0;b_br_27_piedade;x;
56;236;158;202;b_br_27_tatu_;x;
57;181;154;159;b_br_27_cerquilho;x;
58;209;201;119;b_br_27_itapetininga;x;
59;194;251;96;b_br_27_pilar_do_sul;x;
60;189;250;76;b_br_27_angatuba;x;
61;159;196;1;b_br_27_limeira;x;
62;190;143;50;b_br_27_rio_claro;x;
63;137;132;7;b_br_27_mundo_novo;x;
64;4;211;94;b_br_27_piracicaba;x;
65;39;182;72;b_br_27_capivari;x;
66;115;164;41;b_br_27_itirapina;x;
67;135;171;49;b_br_27_brotas;x;
68;0;43;148;b_br_27_s_o_carlos;x;
69;27;23;141;b_br_27_ferreira;x;
70;58;22;196;b_br_27_santa_rita_do_passa_quatro;x;
71;100;255;88;b_br_27_araraquara;x;
72;64;200;88;b_br_27_ribeir_o_bonito;x;
73;80;218;112;b_br_27_boa_esperan_a_do_sul;x;
74;58;142;103;b_br_27_ibitinga;x;
75;86;156;67;b_br_27_mat_o;x;
76;120;126;55;b_br_27_taquaritinga;x;
77;55;72;44;b_br_27_leme;x;
78;106;71;19;b_br_27_pirassununga;x;
79;107;176;151;b_br_27_bauru;x;
80;88;215;137;b_br_27_pederneiras;x;
81;126;182;92;b_br_27_ava_;x;
82;216;135;48;b_br_27_ja_;x;
83;194;184;26;b_br_27_barra_bonita;x;
84;197;170;43;b_br_27_bariri;x;
85;228;205;35;b_br_27_botucatu;x;
86;219;174;12;b_br_27_s_o_manuel;x;
87;200;201;16;b_br_27_itatinga;x;
88;240;0;104;b_br_27_len_is_paulista;x;
89;192;0;141;b_br_27_agudos;x;
90;207;31;76;b_br_27_duartina;x;
91;64;247;111;b_br_27_mogi_gua_u;x;
92;72;186;96;b_br_27_esp_rito_santo_do_pinhal;x;
93;88;113;121;b_br_27_s_o_jo_o_da_boa_vista;x;
94;26;105;127;b_br_27_santa_cruz_das_palmeiras;x;
95;119;194;178;b_br_27_mococa;x;
96;152;184;179;b_br_27_s_o_jos_do_rio_pardo;x;
97;147;184;174;b_br_27_tamba_;x;
98;232;103;235;b_br_27_itapeva;x;
99;242;120;168;b_br_27_itarar_;x;
100;198;124;194;b_br_27_cap_o_bonito;x;
101;197;104;231;b_br_27_apia_;x;
102;241;163;195;b_br_27_buri;x;
103;212;163;218;b_br_27_pil_es;x;
104;243;158;63;b_br_27_avar_;x;
105;201;107;32;b_br_27_piraju;x;
106;210;124;61;b_br_27_cerqueira_c_sar;x;
107;66;91;152;b_br_27_ita_;x;
108;88;141;130;b_br_27_itaber_;x;
109;36;145;140;b_br_27_paranapanema;x;
110;105;161;172;b_br_27_caraguatatuba;x;
111;109;125;117;b_br_27_s_o_sebasti_o;x;
112;90;129;108;b_br_27_bairro_alto;x;
113;184;129;96;b_br_27_ubatuba;x;
114;179;143;77;b_br_27_catu_aba;x;
115;60;212;171;b_br_27_ilhabela;x;
116;55;179;158;b_br_27_cajati;x;
117;86;163;150;b_br_27_registro;x;
118;106;132;137;b_br_27_sapatu;x;
119;160;139;226;b_br_27_juqui_;x;
120;161;184;219;b_br_27_iguape;x;
121;228;161;161;b_br_27_canan_ia;x;
122;134;39;22;b_br_21_rio_de_janeiro;x;
123;158;92;36;b_br_21_nil_polis;x;
124;168;86;0;b_br_21_barra_de_guaratiba;x;
125;214;136;83;b_br_21_nova_igua_u;x;
126;178;115;61;b_br_21_duque_de_caxias;x;
127;170;127;72;b_br_21_itagua_;x;
128;178;95;83;b_br_21_bar_o_do_iriri;x;
129;230;212;11;b_br_21_niter_i;x;
130;254;216;44;b_br_21_itabora_;x;
131;235;237;35;b_br_21_palmeiras;x;
132;211;64;162;b_br_21_volta_redonda;x;
133;165;81;171;b_br_21_barra_mansa;x;
134;0;12;126;b_br_21_japeri;x;
135;12;12;137;b_br_21_miguel_pereira;x;
136;202;96;0;b_br_21_tr_s_rios;x;
137;218;93;24;b_br_21_valen_a;x;
138;202;61;31;b_br_21_rapa_queijo;x;
139;146;193;29;b_br_21_resende;x;
140;107;216;33;b_br_21_real;x;
